customer_id,recency_days,purchase_frequency,avg_order_value,total_revenue,tenure,repeat_customer,avg_days_between_purchases
12346,156,11,33.89636363636364,372.86,196,1,19.2
12347,31,1,611.53,611.53,0,0,
12348,65,1,222.16,222.16,0,0,
12349,34,3,890.38,2671.14,181,1,90.0
12351,2,1,300.93,300.93,0,0,
12352,2,2,171.9,343.8,16,1,16.0
12353,35,1,317.76,317.76,0,0,
12355,194,1,488.21000000000004,488.21000000000004,0,0,
12356,7,3,1187.4166666666667,3562.25,44,1,21.5
12357,15,2,6039.995,12079.99,0,1,0.0
12358,2,3,906.3366666666667,2719.01,356,1,177.5
12359,52,6,427.2266666666667,2563.36,308,1,61.4
12360,6,5,318.166,1590.83,276,1,68.5
12361,89,3,107.11666666666667,321.35,220,1,109.5
12362,365,1,130.0,130.0,0,0,
12366,260,1,500.24,500.24,0,0,
12368,255,1,917.6999999999999,917.6999999999999,0,0,
12369,40,3,597.05,1791.15,228,1,113.5
12370,251,3,258.20666666666665,774.62,44,1,22.0
12371,36,3,726.4733333333334,2179.42,235,1,117.5
12373,251,2,381.52500000000003,763.0500000000001,49,1,49.0
12374,48,3,748.7633333333333,2246.29,166,1,83.0
12376,16,2,251.575,503.15,28,1,28.0
12377,8,2,899.1,1798.2,208,1,208.0
12378,189,1,1407.7,1407.7,0,0,
12379,49,2,383.99,767.98,112,1,112.0
12380,92,7,993.0699999999999,6951.49,197,1,32.666666666666664
12385,6,1,1938.4,1938.4,0,0,
12387,42,1,143.94,143.94,0,0,
12388,72,2,560.225,1120.45,136,1,136.0
12389,29,3,477.77666666666664,1433.33,253,1,126.0
12391,91,5,462.506,2312.53,198,1,49.5
12392,218,1,234.75000000000003,234.75000000000003,0,0,
12393,9,2,408.42499999999995,816.85,46,1,46.0
12395,33,3,567.5133333333333,1702.54,196,1,98.0
12396,301,1,931.43,931.43,0,0,
12399,12,3,284.55,853.65,259,1,129.0
12400,41,1,205.25,205.25,0,0,
12402,19,5,206.26,1031.3,277,1,69.0
12403,148,1,591.6600000000001,591.6600000000001,0,0,
12404,309,1,63.24,63.24,0,0,
12406,26,3,991.6866666666668,2975.06,297,1,148.5
12408,12,3,484.07333333333327,1452.22,112,1,56.0
12409,47,4,3086.6549999999997,12346.619999999999,144,1,47.666666666666664
12410,129,1,320.38,320.38,0,0,
12411,36,1,346.9,346.9,0,0,
12412,29,3,456.68333333333334,1370.05,137,1,68.5
12413,29,1,241.35,241.35,0,0,
12414,90,3,130.0,390.0,0,1,0.0
12415,2,7,2791.977142857143,19543.84,152,1,25.0
12416,283,1,202.56,202.56,0,0,
12417,37,11,287.9827272727273,3167.81,323,1,31.9
12418,40,3,450.8733333333334,1352.62,216,1,107.5
12419,12,2,251.505,503.01,27,1,27.0
12421,42,2,145.78,291.56,90,1,90.0
12422,21,14,316.30285714285714,4428.24,327,1,24.53846153846154
12423,14,2,381.54,763.08,78,1,78.0
12424,49,2,789.535,1579.07,125,1,125.0
12425,75,1,964.21,964.21,0,0,
12426,289,1,762.48,762.48,0,0,
12429,68,4,613.5024999999999,2454.01,105,1,35.0
12431,36,12,334.35583333333335,4012.27,284,1,25.545454545454547
12433,26,3,1139.4233333333334,3418.27,76,1,38.0
12434,8,1,297.29,297.29,0,0,
12435,23,4,1524.01,6096.04,340,1,113.33333333333333
12437,22,21,368.19,7731.99,341,1,16.6
12439,309,2,579.09,1158.18,43,1,43.0
12440,89,2,429.6,859.2,255,1,255.0
